Epoch,Training Loss,Validation Loss,Learning Rate
130,0.8075,0.8753,0.0009890738003668674
131,0.808,0.8765,0.0009999999999999645
132,0.8083,0.8815,0.0009890738003668677
133,0.8086,0.8799,0.0009567727288212662
134,0.8079,0.8749,0.0009045084971874431
135,0.8065,0.8732,0.0008345653031794009
136,0.8049,0.8736,0.0007499999999999744
137,0.804,0.8762,0.0006545084971874511
138,0.8031,0.8788,0.0005522642316338072
139,0.8026,0.8759,0.0004477357683661569
140,0.8022,0.8757,0.000345491502812513
141,0.8016,0.8747,0.0002499999999999897
142,0.8012,0.8739,0.00016543469682056604
143,0.8009,0.8736,9.549150281252332e-05
144,0.8009,0.8726,4.322727117869808e-05
145,0.8009,0.872,1.092619963309743e-05
146,0.8009,0.8722,0.0
147,0.8007,0.8722,1.0926199633097156e-05
148,0.8006,0.8721,4.322727117870055e-05
149,0.8004,0.8719,9.549150281252923e-05
150,0.8001,0.8722,0.0001654346968205766
1,0.7998,0.8729,0.0002500000000000092
2,0.7996,0.873,0.00034549150281253945
3,0.7994,0.8736,0.00044773576836618713
4,0.7995,0.8747,0.0005522642316338449
5,0.8004,0.8749,0.0006545084971874962
6,0.8029,0.8765,0.0007500000000000264
7,0.8056,0.8791,0.0008345653031794562
8,0.8066,0.877,0.0009045084971875041
9,0.8061,0.8755,0.0009567727288213348
10,0.8069,0.8755,0.0009890738003669381
11,0.8071,0.8821,0.0010000000000000354
12,0.8064,0.8809,0.000989073800366938
13,0.8061,0.8763,0.0009567727288213343
14,0.8058,0.8793,0.0009045084971875053
15,0.8052,0.8783,0.0008345653031794604
16,0.8047,0.8749,0.000750000000000028
17,0.8029,0.8749,0.0006545084971874978
18,0.8012,0.8727,0.0005522642316338501
19,0.8003,0.8734,0.0004477357683661924
20,0.7999,0.8759,0.0003454915028125377
21,0.7996,0.8755,0.0002500000000000076
22,0.7992,0.8733,0.00016543469682057786
23,0.799,0.8735,9.549150281253022e-05
24,0.7991,0.8725,4.322727117870121e-05
25,0.7991,0.8723,1.0926199633097488e-05
26,0.7992,0.8725,0.0
27,0.799,0.8725,1.0926199633097156e-05
28,0.7989,0.8725,4.322727117870049e-05
29,0.7987,0.8722,9.549150281252917e-05
30,0.7984,0.8724,0.00016543469682057387
31,0.7982,0.873,0.0002500000000000091
32,0.7979,0.873,0.0003454915028125393
33,0.7978,0.8736,0.00044773576836619055
34,0.7979,0.8736,0.0005522642316338448
35,0.7986,0.8749,0.0006545084971874961
36,0.801,0.8759,0.0007500000000000263
37,0.8037,0.8765,0.0008345653031794589
38,0.8047,0.8763,0.0009045084971875042
39,0.8042,0.8744,0.0009567727288213335
40,0.8042,0.8758,0.0009890738003669377
41,0.804,0.8795,0.0010000000000000356
42,0.804,0.8776,0.0009890738003669381
43,0.8034,0.8763,0.0009567727288213345
44,0.8024,0.8741,0.0009045084971875055
45,0.8015,0.8727,0.0008345653031794605
46,0.801,0.873,0.0007500000000000281
47,0.8005,0.8729,0.0006545084971874979
48,0.8,0.8733,0.0005522642316338468
49,0.7993,0.8737,0.0004477357683661926
50,0.7985,0.8747,0.00034549150281254124
51,0.7979,0.8737,0.0002500000000000108
52,0.7975,0.873,0.00016543469682057534
53,0.7974,0.8733,9.549150281253028e-05
54,0.7974,0.8726,4.322727117870127e-05
55,0.7976,0.8724,1.0926199633097544e-05
56,0.7976,0.8726,0.0
57,0.7975,0.8727,1.0926199633097156e-05
58,0.7974,0.8726,4.3227271178700654e-05
59,0.7972,0.8723,9.549150281252954e-05
60,0.797,0.8724,0.00016543469682057726
61,0.7967,0.8728,0.0002500000000000072
62,0.7965,0.8732,0.0003454915028125376
63,0.7964,0.8734,0.0004477357683661927
64,0.7965,0.8738,0.0005522642316338511
65,0.7973,0.8743,0.0006545084971874993
66,0.7995,0.8742,0.0007500000000000299
67,0.802,0.8761,0.000834565303179463
68,0.8028,0.8761,0.0009045084971875087
69,0.8026,0.8763,0.0009567727288213383
70,0.8025,0.8752,0.0009890738003669425
71,0.803,0.8765,0.0010000000000000406
72,0.8031,0.8745,0.0009890738003669438
73,0.8029,0.8776,0.000956772728821339
74,0.8026,0.8748,0.0009045084971875099
75,0.8015,0.8751,0.0008345653031794619
76,0.8007,0.8744,0.0007500000000000318
77,0.799,0.8739,0.0006545084971875013
78,0.7979,0.8738,0.0005522642316338496
79,0.7972,0.8734,0.0004477357683661913
80,0.7968,0.875,0.000345491502812543
81,0.7966,0.8732,0.00025000000000001204
82,0.7963,0.873,0.00016543469682057886
83,0.7963,0.8732,9.549150281253077e-05
84,0.7963,0.8726,4.322727117870152e-05
85,0.7964,0.8727,1.0926199633097593e-05
86,0.7965,0.8728,0.0
87,0.7964,0.8728,1.0926199633097156e-05
88,0.7963,0.8728,4.322727117869775e-05
89,0.7961,0.8725,9.549150281252318e-05
90,0.7959,0.8725,0.00016543469682056623
91,0.7956,0.8729,0.00024999999999999057
92,0.7955,0.8732,0.0003454915028125147
93,0.7954,0.8735,0.0004477357683661595
94,0.7955,0.8742,0.0005522642316338109
95,0.7962,0.8741,0.0006545084971874559
96,0.7985,0.8744,0.0007499999999999803
97,0.8008,0.8758,0.0008345653031794077
98,0.8014,0.875,0.0009045084971874508
99,0.8013,0.8751,0.0009567727288212749
100,0.8012,0.8761,0.000989073800366877
101,0.801,0.8772,0.0009999999999999744
102,0.8008,0.8769,0.0009890738003668776
103,0.8008,0.8751,0.0009567727288212775
104,0.8006,0.8769,0.0009045084971874524
105,0.8001,0.8749,0.0008345653031794095
106,0.7993,0.875,0.0007499999999999793
107,0.7981,0.8735,0.0006545084971874548
